"","sampling","model/distribution","r","p","r^2"
"1","uniform","exemplarSet_cluster1_nf.csv","0.869417877266758","5.3763118928003e-10","0.755887445311035"
"2","uniform","exemplarSet_cluster1_nsew.csv","0.527847102000321","0.0222544440867493","0.278622563090138"
"3","uniform","exemplarSet_cluster2_nf.csv","0.929207657197868","3.13694734866969e-14","0.863426870195151"
"4","uniform","exemplarSet_cluster2_nsew.csv","0.719937212108248","3.96991243962709e-05","0.518309589378197"
"5","uniform","exemplarSet_shape_nf.csv","0.999999715516728","1.23522376695315e-105","0.999999431033536"
"6","uniform","exemplarSet_shape_nsew.csv","0.996847684988875","6.84305863242269e-37","0.993705307067679"
"7","uniform","exemplarVector_cluster1_nf.csv","0.72268295804306","3.47366579989729e-05","0.522270657845868"
"8","uniform","exemplarVector_cluster1_nsew.csv","0.501341867514011","0.0384456601264668","0.251343668122436"
"9","uniform","exemplarVector_cluster2_nf.csv","0.940566083149916","1.81364696625979e-15","0.884664556771974"
"10","uniform","exemplarVector_cluster2_nsew.csv","0.751343626017288","7.72112916286073e-06","0.564517244356807"
"11","uniform","exemplarVector_shape_nf.csv","0.999997294841417","5.24863811770819e-89","0.999994589690151"
"12","uniform","exemplarVector_shape_nsew.csv","0.998407312147301","6.33599122282307e-42","0.996817160949199"
"13","distance","exemplarSet_cluster1_nf.csv","0.688732737849778","0.000161854221944126","0.474352784186051"
"14","distance","exemplarSet_cluster1_nsew.csv","0.501800531177181","0.0381023954884601","0.251803773089701"
"15","distance","exemplarSet_cluster2_nf.csv","0.939416485926993","2.48098199537876e-15","0.88250333403142"
"16","distance","exemplarSet_cluster2_nsew.csv","0.745998801525104","1.03876544545359e-05","0.556514211876892"
"17","distance","exemplarSet_shape_nf.csv","0.999999715516728","1.23522376695315e-105","0.999999431033536"
"18","distance","exemplarSet_shape_nsew.csv","0.999999980928201","1.3786072450731e-125","0.999999961856402"
"19","distance","exemplarVector_cluster1_nf.csv","0.723270245941203","3.37510155486807e-05","0.523119848663849"
"20","distance","exemplarVector_cluster1_nsew.csv","0.51611426400894","0.0285539954381265","0.26637393351349"
"21","distance","exemplarVector_cluster2_nf.csv","0.941404701255609","1.43731402577973e-15","0.886242811546162"
"22","distance","exemplarVector_cluster2_nsew.csv","0.751378063396443","7.70618575107618e-06","0.564568994153389"
"23","distance","exemplarVector_shape_nf.csv","0.999861346330268","6.09522986105543e-60","0.999722711885377"
"24","distance","exemplarVector_shape_nsew.csv","0.998096481775251","1.30815457773095e-40","0.996196586932135"
